Entry	Length
A0A2T3ZJT7	205
A0A2T3ZP78	1237
A0A2T3Z881	413
A0A2T3Z4K6	615
A0A2T3YS40	483
A0A2T3ZAM2	628
A0A2T3ZQ35	1296
A0A2T3Z284	452
A0A2T3Z4H5	722
A0A2T3Z9U4	283
A0A2T3YUC8	957
A0A2T3ZBW1	206
A0A2T3ZCT8	367
A0A2T3ZNL5	621
A0A2T3ZEL2	501
A0A2T3Z3G6	895
A0A2T3ZNU4	599
A0A2T3Z679	1152
A0A2T3Z005	997
A0A2T3YYE9	448
A0A2T3YZ27	536
A0A2T3ZQ41	381
A0A2T3YY45	1108
A0A2T3YU18	170
A0A2T3ZHL8	1408
A0A2T3Z994	933
A0A2T3Z3V7	810
A0A2T3ZCI7	903
A0A2T3ZEL6	639
A0A2T3YTK0	588
A0A2T3Z226	519
A0A2T3ZLB0	214
A0A2T3ZPZ5	426
A0A2T3YVV8	759
A0A2T3YW58	593
A0A2T3ZLK3	308
A0A2T3YY24	847
A0A2T3ZGV6	587
A0A2T3YTR7	753
A0A2T3ZJU8	788
A0A2T3ZFT5	509
A0A2T3Z9L7	287
A0A2T3ZHU2	1637
A0A2T3ZCD0	268
A0A2T3Z578	109
A0A2T3ZGR2	1176
A0A2T3Z7N9	235
A0A2T3YS45	328
A0A2T3Z5D3	226
A0A2T3Z7U0	1362
A0A2T3ZNJ0	683
A0A2T3YV29	229
A0A2T3Z2Y8	1244
A0A2T3ZEK4	413
A0A2T3Z065	489
A0A2T3ZEL7	801
A0A2T3ZM41	1538
A0A2T3ZPP5	814
A0A2T3ZH49	926
A0A2T3Z5V2	1215
A0A2T3ZPX5	1335
A0A2T3YW39	200
A0A2T3YU46	1006
A0A2T3YWB9	886
A0A2T3YZA1	618
A0A2T3ZJB0	496
A0A2T3Z4W2	207
A0A2T3Z3X2	644
A0A2T3ZQN9	977
A0A2T3Z9Q5	296
A0A2T3ZNE7	427
A0A2T3ZDJ4	1171
A0A2T3ZJN9	785
A0A2T3Z935	631
A0A2T3YRZ7	639
A0A2T3Z1X8	667
A0A2T3ZGY5	437
A0A2T3Z601	892
A0A2T3Z838	327
A0A2T3YXF4	750
A0A2T3YS32	715
A0A2T3ZFL0	200
A0A2T3Z6T5	220
A0A2T3Z1D5	578
A0A2T3ZPD3	1360
A0A2T3YZD4	723
A0A2T3Z8L4	487
A0A2T3YV11	652
A0A2T3ZI20	264
A0A2T3Z9R3	723
A0A2T3Z3F5	679
A0A2T3Z6D2	584
A0A2T3ZLK4	752
A0A2T3ZJW4	719
A0A2T3YZB3	616
A0A2T3ZF60	1227
A0A2T3Z769	399
A0A2T3ZIM3	493
A0A2T3ZQ80	1976
A0A2T3ZL17	410
A0A2T3YXQ3	195
A0A2T3ZN33	496
A0A2T3ZG97	583
A0A2T3ZQ31	533
A0A2T3YYR1	730
A0A2T3YS94	530
L0PAR1	353
L0PH47	2205
L0P6X2	225
L0PBU5	314
L0PGD8	362
L0PDJ7	171
L0PH29	435
L0PES6	1207
L0PFI0	543
L0PCQ9	514
L0PCL9	1550
L0PFB1	663
L0P9Z0	370
L0PBK4	602
L0PE30	335
L0PA26	483
L0PHF2	93
L0PDW3	258
L0PGL7	224
L0PAG6	314
L0P6W2	187
L0PCN5	508
L0P7J6	574
L0P9I2	956
L0PER5	149
L0P7P7	729
L0P7X4	1017
L0PD48	255
L0P7J0	960
L0PAW6	399
L0PE79	201
L0PCI5	1012
L0PD71	491
L0PAN3	721
L0PB26	165
L0PA64	280
L0PEF5	218
L0PCW4	522
L0PGT4	359
L0P7L8	849
L0PDL7	114
L0PG16	807
L0PB86	803
L0P7P9	1315
L0PCS8	217
L0P9H7	289
L0PFE3	310
L0PCJ7	471
L0P8M4	276
L0PE81	696
L0P942	706
L0PG01	1132
L0PG05	763
L0P7Q8	162
L0PC04	477
L0P9N9	269
L0PA90	812
L0PB47	353
L0P9H5	1150
L0P8L7	169
L0PFK8	566
L0PDN2	560
L0PC09	834
L0PAT5	185
L0P890	430
L0PGS1	304
L0PCJ3	283
L0PDC4	396
L0P9X1	583
L0PB67	495
L0PFQ4	212
L0PAQ4	435
L0PCL8	776
L0P9B5	946
L0PAY3	300
L0PCS6	555
L0PCC3	193
L0PAH5	568
L0PGP6	203
L0PF99	746
L0PFE7	695
L0PEF1	648
L0P8V4	94
L0PAL3	520
L0PF10	342
L0P7B6	529
L0P980	322
L0P8I7	205
L0PGD0	722
L0PHI9	457
L0PGE5	167
T0JX74	250
T0KRK5	454
T0K6E1	682
T0LVS5	861
T0LGG1	158
T0LMU7	704
T0LVE2	873
T0L729	204
T0JV28	566
T0JWK3	574
T0JT64	448
T0KWT0	586
T0L2X0	199
T0K7P5	420
T0LQY4	521
T0LI97	414
T0KBD6	872
T0JY45	482
T0KL57	721
T0L3D1	836
T0KF71	971
T0K896	528
T0KDA9	688
T0JSY8	317
T0LYP1	599
T0JQ30	881
T0LR09	866
T0M8F3	326
T0KWJ4	1217
T0KIQ9	320
T0M6E3	417
T0LAN7	634
T0K955	416
T0L044	540
T0L6M3	1221
T0L864	241
T0JYW9	638
T0MB04	576
T0K4G1	291
T0JLU8	355
T0JKZ6	1745
T0LW75	150
T0KP58	954
T0JSQ2	1302
T0LEJ4	881
T0K169	407
T0K4R6	1083
T0KB29	430
T0KEQ1	619
T0KFB6	532
T0JPU6	1155
T0JWD0	718
T0LM44	542
T0ME50	218
T0LQ33	227
T0K9H5	674
T0KDH1	221
T0LLG4	857
T0JZP3	332
T0LR81	1454
T0KRA2	334
T0LUH8	1497
T0JUZ3	1356
T0KL40	632
T0L0K9	500
T0KNM6	658
T0LGG5	287
T0LBI0	392
T0K1C8	492
T0KT50	727
T0LSC5	489
T0M7C4	1684
T0K1R3	868
T0M1H9	642
T0M501	791
T0KPP9	1278
T0JLX6	305
T0LHL8	432
T0L0U7	360
T0LL02	190
T0LBH5	957
T0K4H2	1217
T0KCZ4	457
T0LQY6	1015
T0K429	1088
T0KQ77	584
T0K2H2	307
T0LG84	442
T0K2F4	985
T0L8Z2	605
T0K1U3	603
T0LSH7	504
T0KMN4	239
T0K533	494
T0KR30	217
T0M874	1004
T0LS88	833
T0LJD6	1532
T0LVC1	302
T0JTE7	522
T0M6L1	314
T0M9V0	639
T0LSI5	694
T0KDX8	321
T0KLX7	205
T0JLH6	431
T0KIB8	301
T0LRM9	772
T0LF16	693
T0LBC0	1216
T0LPJ9	182
T0K9B7	903
T0KAA3	394
T0MB05	655
T0LLS6	195
T0L1D7	559
T0LYR7	692
T0L3K3	504
T0JX32	388
T0KJT4	208
T0LAF0	603
T0LZA3	746
T0JZZ4	1081
T0K2A5	517
T0KWD1	173
T0LAC2	202
T0KCA6	394
T0K4P5	374
T0K0C3	955
T0L599	886
T0KQ88	1187
T0K3S3	375
T0LIL0	599
T0KV95	1012
T0K3B0	265
T0JPW2	1281
T0M8J4	499
T0KY97	711
T0LGY7	468
T0K0S4	575
T0MB69	526
T0KSA5	682
T0L3N9	201
T0LI11	609
T0K3G0	877
T0L9F0	2143
T0JNI2	330
T0JQU6	1281
T0K1M0	295
T0LK59	979
T0KM76	439
T0K7V3	276
T0KN73	536
T0KZJ6	709
T0L337	639
T0LEL1	399
T0MEA4	214
T0KEM3	693
T0LFH8	57
T0M745	420
T0K7W9	212
T0L3A1	731
T0JY16	704
T0K132	630
T0KQC5	541
T0JVI8	240
T0LBY2	497
T0LLV3	222
T0KQI8	631
T0KDI3	381
T0K1E9	196
T0L328	444
T0JYH4	264
T0JXF4	1274
T0LQZ0	1011
T0KR71	187
T0K4Z0	550
T0JRF0	589
T0KHN1	392
T0KR90	1044
T0LZY8	801
T0M5K1	644
T0K1T0	386
T0KID4	638
A0A381LAU5	369
A0A656KKH8	292
A0A656KR30	947
A0A381LEH4	336
A0A381LEZ4	214
A0A381L3Y7	106
A0A381L1B6	920
A0A656KL71	473
A0A381LGH0	240
A0A381LEK9	398
A0A381LA81	505
A0A381LED7	1557
A0A381L514	93
A0A381LJ34	549
A0A381L4R0	1235
A0A656KHI8	1377
A0A381LEZ0	1382
A0A381L770	357
A0A381KYV2	909
A0A381LBF0	727
A0A381LK50	394
A0A381LIT3	463
A0A381LIX1	438
A0A656KME5	477
A0A381L1U8	1049
A0A381L4J0	542
A0A381LG15	192
A0A381L1T5	216
A0A381LFJ2	463
A0A381L8N0	1176
A0A381LE28	384
A0A061HG90	621
A0A061HLE9	747
A0A061HGP4	197
A0A061HN59	748
A0A061HF08	570
A0A061HH84	393
A0A061HDQ1	669
A0A061HCF1	541
A0A061HIF3	200
A0A061HEY8	549
A0A061HKV4	596
A0A061HCC0	495
A0A061HPU4	636
A0A061HKM5	952
A0A061HM41	230
A0A061HE43	1233
A0A061HE23	286
A0A061HJR1	1267
A0A061HFP4	517
A0A061HI89	304
A0A061HCH9	940
A0A061HKS2	459
A0A061HJ86	1138
A0A061HHX7	495
A0A061HHW7	319
A0A061HNE3	1044
A0A061HJ57	191
A0A061HDA4	498
A0A061HN64	1177
A0A061HDA3	1373
A0A061HNF9	710
A0A061HJN0	580
A0A061HD27	273
A0A061HNG0	238
A0A061HJE3	794
A0A061HEP4	410
A0A061HJQ7	609
A0A061HL72	216
A0A061HKN7	273
A0A061HIW1	312
A0A061HFI8	824
A0A061HHP3	334
A0A061HQV4	233
A0A061HIS5	250
A0A061HMJ5	575
A0A061HLF2	552
A0A061HK03	906
A0A061HMR1	861
A0A061HHQ5	243
A0A061HJU7	1070
A0A061HN23	772
A0A061HHF8	1005
A0A061HDQ8	204
A0A061HMY5	415
A0A061HI90	407
A0A061HJ67	581
A0A061HGS8	406
A0A061HF16	805
A0A061HEB6	821
A0A381L3A5	71
A0A381LGF1	352
A0A656KFE7	1075
A0A656KFF8	716
A0A381L768	544
A0A381LAK2	1282
A0A381LA45	793
A0A656KQ24	938
A0A381L9G1	534
A0A381LB67	758
A0A061HEG1	380
A0A061HKK0	697
A0A061HGA8	620
A0A061HKT2	203
A0A061HNU3	2076
A0A061HHR2	1302
A0A061HM65	701
A0A061HKB5	328
A0A061HEI8	394
A0A061HIY5	684
A0A061HJ54	240
A0A061HJV5	572
A0A381LGN6	389
A0A381L754	319
A0A381L1N8	737
A0A656KM57	95
A0A656KI79	686
A0A381L762	531
A0A381L4E9	595
A0A381LCF5	1192
A0A656KGW8	476
A0A381LC17	334
A0A656KFD2	885
A0A381LID6	449
A0A381LDH3	686
A0A381L666	279
A0A381LEF0	640
A0A381L484	393
A0A381L560	257
A0A656KKM2	728
A0A381LDM8	602
A0A381LFG5	716
A0A381L6X5	208
A0A381LL29	539
A0A381LE09	692
A0A381L756	103
A0A656KM70	122
A0A381L3I5	949
A0A381LGR1	721
A0A381L3H8	864
A0A381LHB7	1172
A0A381LBG8	556
A0A381L6D0	204
A0A381LB51	254
A0A381L8W1	533
A0A656KMP9	594
A0A656KHN1	554
M7U8F7	632
M7TU92	383
M7TXG8	248
M7UPL9	1032
M7TFE6	430
M7U4Z7	663
M7TMD9	663
M7V247	213
M7UEV3	620
M7TS88	1207
M7UAV2	511
M7U607	1170
M7UDI1	328
M7UDN1	187
M7UCX5	730
M7TX16	299
M7TUS8	1217
M7TVJ6	1071
M7UGV8	563
M7UC55	1394
M7TE20	835
M7URE1	403
M7TK49	729
M7UAG3	1559
M7TRG8	1629
M7U6N0	1397
M7UHQ3	638
M7U7R6	218
M7UA73	373
M7U8X8	628
M7TF72	508
M7TTN6	241
M7UJP5	902
M7TSH8	677
M7V338	205
M7UKG2	839
M7TI92	232
M7UZ28	190
M7UB76	1295
M7TKX8	200
M7TF40	402
M7UET2	952
M7TPP5	402
M7UHN8	858
M7TVU9	265
M7UE68	463
M7UQC5	768
M7U9U6	725
M7UQM9	640
M7THH9	711
M7UCA1	761
M7TPK8	945
M7U531	413
M7TWH9	817
M7U243	284
M7TU24	471
M7U335	746
M7TX86	280
M7TAR7	333
M7UCX2	536
M7TWM1	333
M7TH84	483
M7U4I3	368
M7TRA5	1148
M7U5A6	729
M7UA39	447
M7UWI5	2129
M7U091	626
M7U643	791
M7U470	194
M7TUN3	761
M7U805	1213
M7TSD9	1583
M7UCJ8	355
M7TQZ0	901
M7THH2	1197
M7U7X3	643
M7TLS3	354
M7UDG4	1253
M7TCE6	520
M7TJ51	510
M7TPB4	653
M7U6G3	1855
M7U4K9	1147
M7U3N0	517
M7UMD7	585
M7UUB8	812
M7UKP1	570
M7U570	1181
M7UQ53	203
M7USJ4	203
M7TT01	689
M7UTT6	853
M7U762	816
M7UD83	449
M7UKD0	725
M7TTL7	957
M7UKT4	1221
M7V008	487
M7U621	589
M7TDP8	1094
M7TPV7	1599
M7TLM2	403
M7TKL1	743
M7TCK0	1244
M7TMT1	712
M7U010	1566
M7UN20	623
M7V2G0	531
M7UGL0	1311
M7U860	716
M7UUN4	2376
M7U305	328
M7USK7	403
M7U8B2	221
M7UPC5	694
M7UJR4	2508
M7UDV6	1184
M7TQA4	1364
M7TLW1	470
M7TZI2	647
M7UMC2	511
M7UPQ4	192
M7U3S4	1239
M7TPG4	529
M7THD9	398
M7U1Y0	1052
M7TMJ3	519
M7V0C1	1212
M7U9V7	1252
M7TQN7	335
M7V485	1062
M7TFW1	464
M7UC19	566
M7TP92	392
M7TTJ5	212
M7UY19	225
M7UIQ7	839
M7U338	1188
M7UPD1	312
M7TGC6	492
M7UES0	823
M7V4S0	449
M7UAF0	613
M7UVJ1	958
M7U6Q3	457
M7UB90	558
M7TZY1	1170
M7UY89	1017
M7UBR0	917
M7TEN3	405
M7UU26	641
M7TE88	1353
M7V0Y2	199
M7U456	501
M7UP38	1249
M7TU54	205
M7UPN9	435
M7TD95	704
M7TD74	768
M7TTZ4	743
M7UN82	566
M7TSM0	207
M7THN6	210
M7TP45	921
M7UVT0	419
M7TXM7	413
M7U558	856
M7UFV6	643
M7UQR4	686
M7U6Y2	312
M7UX69	280
M7UQE6	1973
M7TZW7	1479
M7U5A1	1426
M7URN3	209
M7TAP3	303
A0A0F2MKD4	414
A0A0F2LR86	1890
A0A0F2M8B8	431
A0A0F2M6Y2	243
A0A0F2LY45	825
A0A0F2M3Q1	439
A0A0F2M156	652
A0A0F2M3X5	394
A0A0F2M6L5	315
A0A0F2M711	426
A0A0F2M9P0	737
A0A0F2M0K4	565
A0A0F2M7Y2	1104
A0A0F2MC62	1350
A0A0F2MC27	1167
A0A0F2MHQ9	1308
A0A0F2MCT6	299
A0A0F2MC26	213
A0A0F2LZK0	1698
A0A0F2M9X6	1521
A0A0F2M7B2	692
A0A0F2M2U9	587
A0A0F2MJJ5	932
A0A0F2MAY6	1089
A0A0F2MFD0	559
A0A0F2M816	261
A0A0F2M0R2	349
A0A0F2M4E5	595
A0A0F2LWD3	624
A0A0F2MBM1	1153
A0A0F2MJA6	555
A0A0F2LXX9	1037
A0A0F2LZ59	741
A0A0F2MKP3	1425
A0A0F2MJJ4	1113
A0A0F2M705	220
A0A0F2MFZ0	819
A0A0F2ML75	498
A0A0F2MHA1	389
A0A0F2MFJ1	618
A0A0F2M1W1	1142
A0A0F2M4I3	595
A0A0F2MLP6	1185
A0A0F2LZ23	1517
A0A0F2MBF4	715
A0A0F2MBT3	357
A0A0F2LVQ1	445
A0A0F2MDS7	288
A0A0F2LU20	422
A0A0F2LTG9	2055
A0A0F2M2E2	658
A0A0F2M8V8	299
A0A0F2M021	322
A0A0F2LR87	601
A0A0F2M0Z6	397
A0A0F2M728	871
A0A0F2M674	464
A0A0F2MBY8	513
A0A0F2MDI9	736
A0A0F2MB12	309
A0A0F2M8I9	835
A0A0F2M720	809
A0A0F2LVR5	1223
A0A0F2MBA9	586
A0A0F2MAR5	612
A0A0F2ME78	546
A0A0F2M9X9	850
A0A0F2M431	437
A0A0F2M094	371
A0A0F2LVQ4	1116
A0A0F2LXY2	674
A0A0F2MIV8	938
A0A0F2M4K2	712
A0A0F2LXE6	234
A0A0F2M153	225
A0A0F2MMB9	761
A0A0F2MF10	900
A0A0F2MDT5	502
A0A0F2LXF2	827
A0A0F2M445	558
A0A0F2MNI8	219
A0A0F2LSD4	605
A0A0F2M143	764
A0A0F2MG13	756
A0A0F2M3R2	650
A0A0F2LYX3	420
A0A0F2ML95	711
A0A0F2M3R1	1194
A0A0F2M969	512
A0A0F2LWM8	872
A0A0F2MI93	806
A0A0F2LUN8	249
A0A0F2MGR0	477
A0A0F2M200	858
A0A0F2MKX6	785
A0A0F2M7K4	552
A0A0F2LX78	1711
A0A0F2LTC4	1085
A0A0F2M9L6	627
A0A0F2M117	590
A0A0F2M8L8	583
A0A0F2MK06	282
A0A0F2LZA3	1079
A0A0F2MIY4	247
A0A0F2MFG8	898
A0A0F2MLU5	201
A0A0F2MK57	703
A0A0F2MFH9	440
A0A0F2LXA7	1394
A0A0F2MAW2	825
A0A0F2M0N0	1181
A0A0F2M3U7	666
A0A0F2MBS5	234
A0A0F2MNJ3	717
A0A0F2MDS2	2490
A0A0F2MNH3	932
A0A0F2M6R3	448
A0A0F2M8I6	1694
A0A0F2M8G8	462
A0A0F2M017	577
A0A0F2MFF5	341
A0A0F2MKD0	744
A0A0F2MI91	360
A0A0F2MBF8	1333
A0A0F2MBF0	135
A0A0F2LY93	1251
A0A0F2MGH6	360
A0A0F2M3Z1	782
A0A0F2M4L3	703
A0A0F2MNX3	876
A0A0F2MJI6	688
A0A0F2M4F0	302
A0A0F2MAN5	935
A0A0F2LVU8	564
A0A0F2LXN1	1035
A0A0F2LQS6	383
A0A0F2M3D7	269
A0A0F2LYC4	1040
A0A0F2M228	1737
A0A0F2MAU9	867
A0A0F2M7V3	624
A0A0F2MDT2	2319
A0A0F2M0G0	1386
A0A0F2M747	888
A0A0F2LYV4	1448
A0A0F2MMN6	1356
A0A0F2MGW7	1279
A0A0F2MBN2	628
A0A0F2LU12	195
A0A0F2MFR8	178
A0A0F2MC10	220
A0A0F2MBB2	297
A0A0F2M040	1065
A0A0F2LSC0	187
A0A0F2MA62	1011
A0A0F2M4C9	1439
A0A0F2MMW8	1011
A0A0F2LXV5	607
A0A0F2LYR0	449
A0A0F2M6X7	1100
A0A0F2MBN4	196
A0A0F2MCE4	215
A0A0F2M2R8	451
A0A0F2M2R4	452
Q4I5U9	539
I1RMF2	205
I1RNG8	944
P0C431	357
A0A0E0S0J3	522
A0A098DNC6	1272
I1RUG2	496
I1RTV5	1000
I1S1V3	812
I1RBT2	635
A0A098DCD9	836
I1S050	453
I1RTC2	413
I1RSW5	591
I1RAE2	512
A0A098DG50	868
I1S0S6	416
I1RBW7	820
I1RW16	325
I1RTI5	1240
I1RAE5	896
I1RYU1	308
I1RQN9	355
A0A098DSH0	771
A0A1I9FKK1	539
I1RWU6	1375
A0A0E0SGT0	524
A0A098D2D6	232
V6RR76	199
A0A098DAP9	1274
A0A0E0RQN5	405
I1RJR9	492
A0A098DP11	493
I1RQL4	587
I1RKG1	146
A0A098D7I0	1308
A0A098DG04	291
I1RWF1	439
V6R476	195
I1RN43	456
I1RB32	1370
I1RYF8	715
A0A098DCW4	1156
I1RS57	1202
A0A0E0SBC0	626
I1S096	430
I1RCM9	613
A0A098DIL2	1222
I1RYG0	305
I1RNY7	676
A0A098DFK7	889
I1RCM1	714
I1RL46	1153
I1RMV6	1525
I1S8Y5	413
A0A0E0SE45	1293
A0A098E2A9	1237
I1S4P4	1104
A0A098DW84	1347
A0A098DKM1	197
A0A098DVM4	323
A0A098DA75	307
I1S832	896
I1RWL6	647
I1RRG4	501
A0A098DEV9	457
I1RZD9	216
I1RN31	323
I1S282	591
I1RQ67	770
I1RME6	1608
I1S254	187
A0A098E3Q0	413
A0A0E0S1J9	732
I1RKH9	619
I1RP25	1243
I1S9H8	767
I1RFK0	208
I1RT36	394
I1RRU2	405
A0A0E0SDU8	702
I1RBL8	763
I1RNK3	1017
I1RA20	407
A0A098DTI0	500
I1RPL7	1996
A0A0E0RTV8	343
A0A0E0SFK2	858
I1RAY2	340
I1RD70	284
I1RQ70	203
I1RXD5	319
I1RAF0	370
I1RB84	623
A0A098E1W1	1870
I1RK97	399
A0A0E0S0W9	371
I1RLX6	360
I1S077	1399
I1RMR5	593
I1RD84	363
A0A098DCV0	914
I1RRX1	531
I1RKK7	774
A0A098DEY3	1538
I1RTL1	742
I1RWG6	662
I1RWV5	903
A0A098E0P4	902
I1S095	235
A0A0E0S8J5	695
I1RT19	695
I1RCM6	1219
A0A0E0S2Z7	317
I1RD45	255
I1RN54	898
I1RN37	804
I1RJM9	499
I1S0C0	526
I1RSK0	672
I1RQS1	773
A0A098DCN2	719
A0A098DSE0	680
A0A098DYL6	1042
A0A098D4F0	1315
A0A1C3YHN3	1192
A0A1C3YHZ2	208
A0A1C3YLX3	966
A0A1C3YMN4	366
A0A1C3YKS9	596
A0A098DPI5	808
A0A1C3YKS2	371
A0A1C3YIN3	489
A0A098DZF4	2562
I1S028	1150
A0A1C3YML2	524
I1RAA6	1206
A0A1C3YL97	798
A0A1C3YKH4	928
A0A1C3YIV6	1251
A0A098DF86	428
I1RS33	653
I1S287	202
A0A1C3YLC9	350
A0A1C3YKN0	637
A0A1C3YID2	313
A0A1C3YLD4	297
I1RB79	581
A0A098E002	912
A0A1C3YHW1	220
I1RXB5	271
A0A1C3YI46	574
I1RZ85	416
I1RZQ2	511
A0A1C3YJ62	1205
A0A1C3YMN6	535
A0A1C3YJI0	1397
I1RH05	548
A0A0E0RWH4	1201
I1RCF7	976
I1RG87	1145
A0A1C3YN74	807
V6RFV4	393
A0A1C3YLI0	816
I1RFK9	422
A0A1C3YIZ8	518
I1RKC7	212
A0A098DXG8	179
I1RYI2	302
A0A1C3YKR8	1023
I1RHM4	289
I1RGD6	510
A0A0E0S947	363
A0A0E0RX08	1413
A0A1C3YMD9	207
A0A1C3YKW5	391
A0A1C3YJP1	1414
A0A1C3YIP6	1004
A0A098D3Y7	244
A0A1C3YJF5	1148
A0A1C3YLS8	383
A0A1C3YJY3	832
I1RZI7	285
A0A0E0SEI9	289
A0A098DVQ5	849
A0A098DZ78	1399
A0A1C3YLN8	320
A0A098D3W0	528
I1RD19	527
A0A098DHZ2	305
I1R9M1	205
A0A1C3YMA5	306
A0A1C3YLH6	1151
I1RDF3	316
I1RSF0	860
I1RFH5	1188
A0A1C3YI80	639
A0A1C3YJB0	1161
I1RZ37	1167
A0A098DTI1	977
A0A0E0SER1	851
A0A098DKJ5	875
A0A1C3YJX7	2566
A0A1C3YJ96	791
A0A098DWN2	1022
A0A1C3YL92	805
I1RWY0	216
I1RTJ6	820
A0A1C3YLM4	666
A0A1I9FNK6	357
A0A1C3YN54	212
A0A098DRN3	647
A0A1C3YKT9	856
A0A098DWL7	395
I1RC85	627
I1RP88	630
I1RQG9	783
A0A0E0RU69	628
I1RBD9	1521
I1RWW4	588
I1RSB0	260
A0A0E0SIZ6	905
I1RTQ9	183
I1RDX3	736
I1RC00	216
I1S172	895
I1RCJ5	1921
I1RC35	884
I1RZP6	711
I1SAT3	87
I1RTG9	186
I1RA81	1341
I1RA39	836
I1RKR8	453
A0A098DUZ8	635
I1RG94	370
I1RUM9	725
A0A0E0SKT2	877
I1RQS2	597
A0A098D624	744
A0A098DGM6	1200
I1RN81	195
I1RPG1	611
I1RWQ0	392
A0A0E0SDV0	1150
V6QUU6	270
Q1KTF2	357
F9XMW5	978
F9XDT1	427
F9WWM0	654
F9XMK0	272
F9XF57	207
F9X472	883
F9X6H1	533
F9XM22	429
F9X9F4	596
F9X1U3	482
F9XM35	980
F9XD41	196
F9XFY1	1169
F9X6H8	385
F9X9H9	652
F9XP23	742
F9XG70	326
F9X9W1	811
F9XIG8	1192
F9X695	329
F9XER4	977
F9XIN3	506
F9XF34	920
F9XIM5	815
F9XEM9	741
F9XAD0	1383
F9XBZ2	334
F9X867	1197
F9XCK3	410
F9XID1	394
F9XHP7	231
F9X3L1	1256
F9WZS5	1115
F9X3W4	1168
F9WX91	409
F9XBT9	968
F9XKF5	734
F9WYL1	1385
F9WXX5	794
F9WXI0	669
F9XD52	1212
F9XE27	54
F9X507	267
F9X868	425
F9XNS1	383
F9XFP7	379
F9WYA6	1022
F9XJ67	1542
F9X6Q2	784
F9WWN3	252
F9XKN6	625
F9XP45	192
F9WZF2	419
F9X7A0	280
F9XK28	1167
F9XE25	797
F9WZV1	399
F9X4G2	1219
F9X8I7	212
F9WW84	502
F9XE66	653
F9X7Z0	382
F9X2L2	462
F9WWE8	326
F9XD87	356
F9WWL3	690
F9WXU3	1151
F9XC02	394
F9XMJ7	235
F9X076	1958
F9XAU7	1522
F9X3Q4	573
F9XDX6	391
F9XHZ2	58
F9X1A8	658
F9XAW6	718
F9WWH0	419
F9XPV1	354
F9X1E3	296
F9X7W8	589
F9XCD7	517
F9XQG4	962
F9X5L1	607
F9XHR2	616
F9X1U1	287
F9X3K2	321
F9XIN2	1550
F9XB05	398
F9WY21	97
F9XL00	201
F9XFZ8	72
F9XD17	218
F9XFA6	600
F9X554	201
F9XBJ4	650
F9XF55	198
F9WXW1	984
F9XNN4	448
F9XIW9	207
F9XC37	914
F9XK39	341
F9XB35	337
F9WW42	812
F9X947	501
F9XCB2	401
F9WXL7	1108
F9X8W2	573
F9X6M1	719
F9XM85	1069
